genero,eleitores
feminino,2
feminino,1
masculino,1
feminino,1
feminino,3
masculino,1
feminino,2
masculino,3
masculino,3
masculino,2
masculino,1
feminino,2
feminino,2
feminino,2
feminino,1
masculino,1
masculino,7
feminino,1
feminino,15
feminino,1
masculino,1
masculino,1
feminino,3
feminino,2
feminino,5
feminino,1
masculino,1
masculino,2
masculino,1
masculino,1
feminino,1
masculino,1
feminino,1
feminino,3
masculino,3
masculino,1
feminino,2
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
feminino,2
feminino,2
masculino,5
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,1
masculino,1
masculino,13
feminino,1
masculino,1
masculino,1
masculino,4
masculino,2
masculino,1
feminino,1
feminino,1
feminino,1
feminino,8
feminino,1
masculino,1
masculino,1
masculino,1
feminino,2
feminino,2
masculino,1
feminino,1
feminino,1
masculino,1
masculino,1
feminino,3
feminino,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,1
feminino,2
feminino,1
masculino,1
feminino,1
feminino,1
feminino,2
masculino,4
masculino,4
masculino,3
feminino,1
masculino,1
masculino,1
masculino,1
feminino,1
feminino,2
masculino,1
feminino,1
masculino,1
feminino,2
masculino,1
feminino,3
feminino,4
masculino,2
masculino,1
masculino,5
masculino,1
masculino,9
masculino,9
feminino,1
masculino,2
feminino,1
feminino,1
feminino,1
masculino,1
feminino,3
feminino,6
masculino,1
masculino,2
feminino,3
masculino,1
masculino,3
masculino,1
feminino,1
feminino,1
feminino,3
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,2
masculino,1
masculino,1
feminino,1
feminino,1
masculino,3
masculino,1
feminino,8
feminino,2
masculino,3
masculino,1
feminino,1
feminino,2
masculino,1
masculino,2
masculino,2
feminino,3
masculino,1
feminino,2
masculino,1
feminino,9
feminino,1
feminino,3
feminino,2
masculino,1
feminino,2
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,2
feminino,1
feminino,1
feminino,3
masculino,4
masculino,2
masculino,1
feminino,3
masculino,2
feminino,1
masculino,5
feminino,1
masculino,1
feminino,2
masculino,7
feminino,1
masculino,2
masculino,1
feminino,1
feminino,1
feminino,2
feminino,1
masculino,2
feminino,2
feminino,2
masculino,16
feminino,2
masculino,1
masculino,4
masculino,9
masculino,2
masculino,1
feminino,3
feminino,8
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,1
masculino,3
masculino,1
feminino,1
feminino,1
masculino,3
feminino,3
feminino,1
feminino,1
feminino,1
masculino,4
feminino,1
masculino,6
feminino,4
feminino,1
masculino,1
feminino,5
masculino,3
feminino,1
feminino,6
masculino,4
masculino,1
feminino,4
masculino,1
feminino,1
feminino,1
feminino,1
masculino,3
feminino,1
masculino,2
feminino,1
feminino,1
masculino,3
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,5
feminino,1
masculino,1
feminino,1
masculino,4
masculino,1
feminino,1
masculino,4
masculino,1
feminino,3
feminino,3
feminino,3
feminino,3
masculino,2
feminino,1
masculino,1
feminino,1
feminino,1
masculino,5
feminino,2
feminino,1
feminino,1
masculino,3
feminino,2
feminino,2
feminino,3
feminino,3
feminino,1
masculino,1
feminino,1
masculino,1
feminino,3
feminino,2
feminino,1
feminino,1
masculino,1
masculino,4
masculino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,1
feminino,1
feminino,1
feminino,1
masculino,5
masculino,1
masculino,4
feminino,4
masculino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,1
feminino,2
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
masculino,2
masculino,1
masculino,1
masculino,1
feminino,3
feminino,2
masculino,1
feminino,1
feminino,1
feminino,7
feminino,1
feminino,5
masculino,1
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,1
feminino,7
masculino,1
feminino,1
feminino,2
feminino,2
feminino,1
feminino,1
masculino,3
feminino,2
feminino,5
feminino,1
masculino,5
feminino,1
feminino,4
feminino,2
feminino,1
feminino,9
feminino,1
masculino,1
masculino,2
masculino,1
masculino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,1
masculino,2
masculino,2
feminino,1
